Reaction identifier	Equation	ChEBI identifier	EC number	Enzymes	PubMed
RHEA:81667	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate)(out) + a 1,2-diacyl-sn-glycero-3-phospho-L-serine(in) = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate)(in) + a 1,2-diacyl-sn-glycero-3-phospho-L-serine(out)	CHEBI:58178;CHEBI:57262		1785	39106189;26206935;34817532
RHEA:84179	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate)(out) + cholesterol(in) = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate)(in) + cholesterol(out)	CHEBI:58178;CHEBI:16113		26	29596003;28978670;24209621
RHEA:14057	a glycerophospholipid + a 1,2-diacyl-sn-glycerol = a monoacylglycerophospholipid + a triacyl-sn-glycerol	CHEBI:136912;CHEBI:17815;CHEBI:136913;CHEBI:64615	EC:2.3.1.158	1099	10829075
RHEA:10304	a 2-acyl-sn-glycero-3-phosphoethanolamine + a fatty acyl-[ACP] = a 1,2-diacyl-sn-glycero-3-phosphoethanolamine + holo-[ACP]	CHEBI:65213;CHEBI:138651;CHEBI:64612;CHEBI:64479	EC:2.3.1.40	426	4902888
RHEA:11988	a 1-acyl-2-(9Z)-enoyl-sn-glycero-3-phospholipid + S-adenosyl-L-methionine = a 1-acyl-2-(9-cyclopronane)-acyl-sn-glycero-3-phospholipid + S-adenosyl-L-homocysteine + H(+)	CHEBI:76593;CHEBI:59789;CHEBI:76594;CHEBI:57856;CHEBI:15378	EC:2.1.1.79	125	14214089;22621931
RHEA:17549	a 1-acyl-2-(9Z)-enoyl-sn-glycero-3-phospholipid + S-adenosyl-L-methionine = a 1-acyl-2-(10-methylene)-acyl-sn-glycero-3-phospholipid + S-adenosyl-L-homocysteine + H(+)	CHEBI:76593;CHEBI:59789;CHEBI:76171;CHEBI:57856;CHEBI:15378	EC:2.1.1.16	0	4313604
RHEA:51488	archaetidylserine + H(+) = archaetidylethanolamine + CO2	CHEBI:71517;CHEBI:15378;CHEBI:134176;CHEBI:16526		98	16243780
RHEA:36203	a 1-O-(1Z-alkenyl)-sn-glycero-3-phosphoethanolamine + H2O = a 1-O-(1Z-alkenyl)-sn-glycero-3-phosphate + ethanolamine + H(+)	CHEBI:77288;CHEBI:15377;CHEBI:77283;CHEBI:57603;CHEBI:15378	EC:3.1.4.39	0	4855486
RHEA:36207	a 1-O-(1Z-alkenyl)-sn-glycero-3-phosphate + an acyl-CoA = 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphate + CoA	CHEBI:77283;CHEBI:58342;CHEBI:77284;CHEBI:57287		0	
RHEA:36219	a 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphoethanolamine + H2O = 1-O-(1Z-alkenyl)-2-acyl-sn-glycero-3-phosphate + ethanolamine + H(+)	CHEBI:77290;CHEBI:15377;CHEBI:77284;CHEBI:57603;CHEBI:15378	EC:3.1.4.4	0	
