database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	HeLa1	HeLa2	HeLa3	HeLa4	HeLa5	HeLa6	HeLa7	HeLa8	HeLa9	HeLa10	HeLa11	HeLa12	RAW1	RAW2	RAW3	RAW4	RAW5	RAW6	RAW7	RAW8	RAW9	RAW10	RAW11	RAW12
CHEBI:16335	C10H13N5O4	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	Adenosine	266.089		M-H		3.31												395458	436093	337922	394635	363635	424170	380567	368385	222357	333595	401310	369881	75745	69164	228644	332507	346638	327768	374740	270352	303757	347880	362246	277982
CHEBI:16761	C10H15N5O10P2	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	ADP	426.022		M-H		11.66												5888635	6764250	6373418	2513837	3233851	3341055	8006954	8538322	2714506	7904487	3495335	3007393	14672464	17356279	13064017	7755084	10523618	12182059	14930205	20003087	14820809	11521289	11730441	14566635
CHEBI:16449	C3H7NO2	CC(N)C(O)=O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	Alanine	88.04		M-H		9.37												NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	50346202	47740594	45570935	33389377	41469619	42956352	50578076	47916427	42742097	46277532	50580220	53782225
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	alpha-Ketoglutarate	145.014		M-H		11.31												8736888	10095524	9259386	9097427	8408640	10100320	7888784	8436210	6527473	8534258	8015617	7901513	95148316	95143716	88652054	69027126	83174210	86049446	83079266	84718883	77918107	71138669	77778281	82440898
CHEBI:16027	C10H14N5O7P	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	AMP	346.055		M-H		10.72												2228896	2453757	2499655	2388966	2362081	2963630	2373656	2546594	2011099	2564787	2363280	2484825	4365297	4580165	3941483	3255325	4208462	4341612	4013194	4980411	4119363	4299363	4816352	4893497
CHEBI:29016	C6H14N4O2	NC(CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)	Arginine	173.104		M-H		13.55												43382401	42708889	42373573	38487772	31213398	39897089	33508293	31396915	29489247	31066803	30696120	30245057	45402285	45831283	41669890	41104444	39501391	40966898	46579620	43565423	41130205	42204599	41001003	40873230
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	Asparagine	131.046		M-H		10.1												1415275	1508081	1623617	1587006	1366663	1823519	1737761	1814572	1657619	1847440	1786204	1838653	3445584	3193907	3128784	2616359	2924428	3068456	3029101	3414922	2668008	2941896	3105762	3419578
CHEBI:22660	C4H7NO4	NC(CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	Aspartic_acid	132.03		M-H		10.96												216393756	248183390	232792825	245006414	212498994	269705434	246746797	270157430	231477307	263099877	268324942	259636480	191091331	192887243	175658574	166453477	181531817	185750059	178628071	197772158	175513145	184385741	191119069	202897930
CHEBI:15422	C10H16N5O13P3	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1	ATP	505.988		M-H		12.57												6535170	8998831	9537617	2813033	4656884	3004109	11115641	13956413	2713756	9983538	3988042	3027235	12847584	19810623	12664916	9605045	21412412	20590992	15246627	17476635	15640482	24621280	15303421	20061497
CHEBI:17239	C9H15N3O11P2	Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H15N3O11P2/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	CDP	402.01		M-H		12.6												72272	99484	98653	24006	34420	68725	107681	100731	50440	117302	49345	45205	322829	415530	323438	244632	410228	356545	381161	627957	344300	417434	479599	485245
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citrate	191.019		M-H		12.84												268915303	273124826	326855515	241814896	304360322	262789909	267061267	310069265	197935445	283695671	214032555	224032841	210124968	247862115	212698699	266230292	297313725	301068876	196422627	225766336	221637486	305360408	252258615	275655326
CHEBI:18211	C6H13N3O3	NC(CCCNC(N)=O)C(O)=O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	Citrulline	174.088		M-H		10.52												53103	25964	4710	5254	14319	4421	15724	3523	4730	36150	16253	21081	19984	27052	26463	8906	11507	17966	13320	25492	28810	11547	15703	16896
CHEBI:17677	C9H16N3O14P3	Nc1ccn([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	CTP	481.977		M-H		13.8												523128	673180	787730	182764	465588	250582	810375	1075586	180714	788150	337737	239001	571609	987811	700141	623659	1355139	1161783	829613	968722	825818	1491587	908569	1099796
CHEBI:15356	C3H7NO2S	NC(CS)C(O)=O	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	Cysteine	120.012		M-H		11.97												311455	267072	277525	331330	247540	261126	427964	231134	454035	212842	283047	333793	301790	263623	367890	180237	134680	109007	372017	284675	176381	218108	160687	148663
CHEBI:17562	C9H13N3O5	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1	Cytidine	242.078		M-H		6.8												12426	9990	9305	9015	4880	3117	14108	6434	5395	12905	9029	1693	18796	27699	22259	11965	12804	23597	34098	20841	24553	7951	10189	14674
CHEBI:28997	C10H12N4O4	OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1nc[nH]c2=O	InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1	Deoxyinosine	251.078		M-H		1.7												36554	31954	4092	8303	17444	4670	3550	8469	18734	36867	20628	12266	12330	13044	NF	10863	21653	6777	60456	17706	5908	24223	11691	31198
CHEBI:16108	C3H7O6P	OCC(=O)COP(O)(O)=O	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)	Dihydroxyacetonephosphate	168.99		M-H		11.3												800724	935062	974686	1225268	1008361	1298551	831781	839059	1049655	955606	1021895	1030470	392349	567467	514580	654609	419404	327069	491307	416142	663020	377701	275432	273524
CHEBI:27470	C19H19N7O6	Nc1nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2c(=O)[nH]1	InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1	FolicAcid	440.132		M-H		12.04												962910	793317	724505	659105	594118	598306	571423	474965	439321	450981	467123	465864	502384	575170	453425	542159	482508	410153	668634	516253	569050	471980	414851	396229
