Time bin center [s],Occurances,Normalized probability
0.25,238,0.114258281325012
0.75,204,0.0979356697071531
1.25,200,0.0960153624579933
1.75,170,0.0816130580892943
2.25,133,0.0638502160345655
2.75,122,0.0585693710993759
3.25,113,0.0542486797887662
3.75,102,0.0489678348535766
4.25,98,0.0470475276044167
4.75,73,0.0350456072971675
5.25,66,0.0316850696111378
5.75,52,0.0249639942390783
6.25,55,0.0264042246759482
6.75,53,0.0254440710513682
7.25,51,0.0244839174267883
7.75,50,0.0240038406144983
8.25,40,0.0192030724915987
8.75,41,0.0196831493038886
9.25,14,0.00672107537205953
9.75,30,0.014402304368699
10.25,2,0.000960153624579933
10.75,0,0
11.25,0,0
